amount_inr,hour_of_day,is_new_recipient,tx_count_last_24h,wallet_age_days,amount_deviation_ratio,is_structured_amount,is_fraud
2827.2,5,0,3,0.0,0.72,0,1
1596.49,8,0,1,38.0,0.85,0,0
3238.68,6,1,1,29.0,2.51,0,0
7120.45,13,0,3,50.0,2.95,0,0
1464.49,10,0,1,19.0,0.55,0,0
1464.51,20,0,2,108.0,0.94,0,0
7489.76,15,0,2,33.0,21.22,0,0
3607.21,5,1,0,214.0,6.2,0,1
1184.97,21,0,2,40.0,0.61,0,0
2946.3,15,1,2,28.0,1.64,0,0
1191.45,19,0,0,7.0,1.06,0,0
1188.97,15,0,3,162.0,0.68,0,0
2247.93,11,1,0,85.0,3.66,0,1
323.13,16,1,1,14.0,0.24,0,0
382.82,4,1,1,30.0,0.32,0,1
1090.01,12,1,0,799.0,2.39,0,1
726.66,7,0,1,197.0,0.47,0,0
2399.04,23,0,0,52.0,4.05,0,0
798.53,4,1,1,94.0,0.32,0,0
507.21,11,0,1,65.0,0.28,0,0
6762.07,8,0,0,4.0,6.82,0,0
1475.57,2,0,1,181.0,1.84,0,0
1921.33,2,0,0,151.0,2.99,0,0
501.56,0,1,1,63.0,0.45,0,1
1107.72,21,0,0,224.0,0.47,0,0
1997.86,17,1,1,92.0,1.65,0,0
641.69,23,0,1,8.0,0.48,0,0
2535.45,11,0,0,36.0,3.32,0,0
1053.03,8,0,2,74.0,0.96,0,0
1390.58,8,0,1,13.0,1.08,0,0
1052.02,17,0,0,102.0,0.66,0,0
9576.34,17,0,1,15.0,7.19,0,0
1786.21,6,0,1,27.0,0.92,0,0
697.89,3,0,3,269.0,0.32,0,0
3790.64,12,0,2,1030.0,1.02,0,0
602.59,16,0,3,96.0,0.36,0,1
2181.96,23,0,2,116.0,1.15,0,0
309.91,1,0,2,192.0,0.29,0,0
547.1,13,1,0,143.0,0.15,0,0
2158.51,2,0,2,24.0,1.93,0,0
3514.39,4,1,3,64.0,1.65,0,1
2109.55,13,1,0,92.0,1.92,0,0
1629.32,2,0,0,54.0,1.2,0,0
1378.85,22,1,0,23.0,0.92,0,0
477.87,6,0,5,160.0,1.04,0,0
945.9,17,1,1,27.0,0.57,0,0
1194.43,12,1,1,36.0,0.85,0,0
4681.67,22,0,2,41.0,4.74,0,0
2463.3,21,0,0,21.0,3.04,0,0
369.91,9,0,2,227.0,0.37,0,0
2420.37,12,0,0,113.0,3.09,0,0
1278.48,15,0,1,216.0,1.17,0,0
983.16,8,0,2,82.0,0.99,0,0
3135.39,1,0,0,88.0,2.61,0,0
4572.88,22,0,2,115.0,1.96,0,0
4180.36,4,1,0,56.0,4.87,0,1
849.55,21,1,0,82.0,0.81,0,0
1368.83,16,0,2,95.0,0.86,0,0
2436.06,22,0,1,368.0,2.96,0,0
4350.26,21,0,2,257.0,1.86,0,0
1174.67,3,0,0,17.0,1.42,0,0
1529.82,16,1,1,5.0,0.95,0,1
668.01,8,0,2,137.0,0.24,0,0
616.1,19,0,2,6.0,0.75,0,0
3756.61,1,1,3,7.0,4.1,0,1
6127.95,23,1,0,21.0,5.43,0,1
1694.58,17,0,0,52.0,1.13,0,0
4461.23,20,0,4,69.0,3.26,0,0
2503.57,21,0,3,88.0,1.71,0,0
1011.7,10,0,0,584.0,0.5,0,0
2503.03,12,1,1,58.0,1.89,0,0
7217.28,7,0,1,33.0,11.75,0,0
1750.67,0,0,0,103.0,0.55,0,0
7392.19,16,1,4,29.0,3.85,0,0
171.1,11,0,3,339.0,0.25,0,0
3788.45,3,1,1,36.0,2.86,0,0
1955.38,20,0,0,552.0,0.82,0,0
1381.46,12,0,1,65.0,1.61,0,0
1963.7,8,0,0,201.0,0.76,0,0
302.23,6,0,2,125.0,0.37,0,0
1483.7,22,0,1,325.0,0.77,0,1
2493.4,23,0,2,118.0,7.83,0,0
6837.0,4,0,4,104.0,2.62,0,1
1134.06,4,1,0,127.0,2.38,0,1
873.37,16,0,0,185.0,0.29,0,0
1151.04,8,0,2,275.0,1.56,0,0
4121.04,5,0,1,37.0,0.9,0,0
2430.56,18,1,0,27.0,1.54,0,1
1122.39,15,0,0,4.0,0.41,0,0
2869.64,20,1,2,55.0,2.17,0,0
1973.12,1,0,1,225.0,3.32,0,1
4323.33,9,0,1,9.0,5.12,0,0
961.17,15,0,2,93.0,0.49,0,0
1346.28,4,0,0,142.0,0.16,0,0
1270.42,14,0,0,218.0,0.36,0,0
484.36,12,1,5,105.0,0.31,0,1
2360.22,12,1,1,25.0,0.9,0,1
2286.89,12,0,1,401.0,1.36,0,0
1816.38,14,0,1,12.0,1.41,0,0
1463.92,13,0,2,176.0,0.96,0,0
505.81,7,0,0,11.0,0.48,0,0
1238.21,10,1,1,19.0,0.8,0,0
1328.17,17,0,3,274.0,0.72,0,1
878.27,23,0,2,168.0,0.62,0,0
1563.75,3,1,2,55.0,1.41,0,0
2600.99,9,0,1,122.0,2.42,0,0
9873.08,0,0,0,73.0,7.89,0,0
2115.66,4,0,1,8.0,1.34,0,0
2279.69,12,0,3,153.0,2.07,0,1
1690.87,0,0,0,173.0,0.83,0,0
321.53,22,0,3,257.0,0.58,0,0
1765.41,7,0,0,93.0,1.05,0,0
1908.76,2,0,3,134.0,0.72,0,1
16596.02,2,0,1,69.0,3.89,0,0
1520.62,6,0,1,46.0,1.08,0,0
2371.77,3,0,4,64.0,1.09,0,0
1752.43,2,0,3,291.0,1.05,0,0
631.56,14,0,1,22.0,0.23,0,0
5057.06,7,0,1,34.0,3.96,0,0
3557.24,2,0,0,112.0,1.79,0,0
3684.64,6,0,0,15.0,9.16,0,0
797.56,17,1,0,267.0,0.3,0,0
6390.16,10,0,0,6.0,4.02,0,0
512.0,10,1,1,169.0,0.53,0,1
3066.13,16,1,0,56.0,1.76,0,1
12983.18,5,0,4,6.0,3.77,0,0
741.38,7,0,0,222.0,0.89,0,0
1086.08,0,1,2,123.0,1.26,0,0
1977.69,9,0,1,1.0,3.57,0,1
1149.26,18,1,1,37.0,1.33,0,0
447.83,2,0,2,52.0,0.54,0,0
1923.12,3,0,2,47.0,1.47,0,1
695.01,10,0,3,83.0,0.46,0,0
2768.98,14,0,1,90.0,4.36,0,0
790.38,0,0,1,61.0,0.44,0,0
7294.97,8,0,2,48.0,4.25,0,0
893.43,10,1,0,84.0,0.53,0,0
1353.09,18,1,1,4.0,1.55,0,0
3759.97,12,0,0,124.0,0.8,0,0
597.18,15,1,0,112.0,0.28,0,0
2218.78,3,1,0,39.0,3.35,0,1
5863.07,0,1,1,24.0,10.32,0,0
425.5,19,0,2,9.0,0.47,0,0
2134.89,12,1,0,106.0,1.37,0,0
2284.48,0,0,2,101.0,0.65,0,0
3654.23,4,0,1,91.0,3.71,0,0
593.92,4,1,1,509.0,1.02,0,1
550.92,13,0,1,91.0,0.31,0,0
2892.13,22,0,2,154.0,2.59,0,0
2362.05,13,1,0,14.0,1.5,0,1
2265.26,7,0,0,43.0,1.69,0,0
2469.58,3,1,3,39.0,1.96,0,1
980.42,6,0,0,103.0,0.36,0,0
2228.38,19,0,1,48.0,1.06,0,0
2353.75,18,0,0,123.0,1.4,0,1
950.59,14,1,5,141.0,2.34,0,1
9693.37,21,0,4,4.0,7.63,0,1
2769.58,3,1,1,123.0,1.12,0,1
618.83,18,1,1,15.0,0.75,0,0
3264.62,8,0,1,75.0,2.53,0,0
752.04,20,0,0,156.0,0.53,0,0
3671.58,12,1,0,146.0,2.17,0,0
5129.36,13,0,0,43.0,4.44,0,0
863.84,22,0,1,38.0,0.45,0,0
4302.87,13,1,0,70.0,2.32,0,0
2621.5,21,1,0,25.0,3.07,0,0
3788.99,9,0,1,441.0,4.11,0,0
9967.79,15,0,1,51.0,6.08,0,0
1449.76,4,0,0,308.0,0.41,0,0
917.49,22,0,1,287.0,0.34,0,0
811.95,5,1,1,54.0,0.77,0,0
867.63,1,1,2,35.0,0.95,0,1
1686.83,12,0,0,177.0,1.43,0,0
2457.84,12,1,0,31.0,0.66,0,1
2319.3,18,1,1,88.0,1.58,0,1
3806.5,17,0,1,14.0,2.31,0,1
1829.32,18,0,0,59.0,2.03,0,0
6688.74,0,1,0,10.0,4.46,0,0
1424.83,7,0,1,40.0,2.4,0,0
20913.54,21,0,1,131.0,32.47,0,1
3175.12,15,0,1,569.0,2.05,0,0
835.94,1,0,3,35.0,0.49,0,1
689.66,7,0,0,77.0,0.6,0,0
2791.2,5,0,2,71.0,1.56,0,0
1478.65,15,1,0,24.0,2.17,0,0
3437.85,22,0,2,113.0,2.86,0,0
2768.09,10,0,2,155.0,2.74,0,0
1693.33,16,0,1,19.0,1.21,0,0
843.77,22,0,2,170.0,0.68,0,0
462.5,18,0,0,145.0,0.08,0,0
1209.71,10,0,0,26.0,1.45,0,0
3907.91,7,0,2,126.0,2.65,0,0
2192.25,21,0,1,60.0,0.28,0,0
589.24,3,1,0,137.0,0.28,0,1
2113.0,10,0,0,82.0,1.46,0,0
2557.5,7,0,0,6.0,1.06,0,0
816.09,8,0,4,186.0,0.38,0,0
2076.32,1,0,2,97.0,2.72,0,0
1905.29,15,1,0,155.0,3.26,0,1
646.34,5,0,1,16.0,0.41,0,1
2494.91,20,0,0,153.0,2.25,0,0
2995.02,20,1,2,64.0,0.52,0,0
4792.21,18,1,1,193.0,1.65,0,0
4667.7,7,0,1,110.0,1.61,0,0
523.27,13,0,3,53.0,1.47,0,0
777.4,23,0,2,27.0,0.75,0,0
2874.21,15,1,2,203.0,1.95,0,0
2870.98,11,0,0,99.0,3.01,0,0
2874.24,4,0,2,526.0,2.83,0,0
57957.1,23,0,0,56.0,45.68,0,1
3022.38,23,0,2,139.0,1.89,0,0
5024.14,18,0,0,117.0,0.67,0,0
4266.72,17,1,0,122.0,4.31,0,0
3249.49,8,0,0,160.0,1.32,0,0
1361.38,1,1,4,18.0,0.38,0,1
3579.84,19,0,3,96.0,4.39,0,1
901.86,11,0,2,85.0,0.18,0,0
1460.98,1,1,0,50.0,0.86,0,0
1168.15,9,0,3,69.0,3.53,0,1
1946.3,0,0,0,88.0,0.63,0,0
14518.7,3,1,2,46.0,25.89,0,1
336.79,11,0,2,42.0,0.09,0,0
3353.08,8,0,1,161.0,1.26,0,0
423.5,3,0,3,8.0,0.53,0,0
1182.35,8,0,3,45.0,1.01,0,0
4817.72,5,1,1,127.0,2.16,0,0
1915.73,0,0,1,28.0,1.81,0,0
685.42,9,1,3,102.0,0.16,0,1
